Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 05466 (39.5%) | loss: 0.049512 | mae: 30.49 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05467 (39.5%) | loss: 0.050436 | mae: 32.15 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05468 (39.5%) | loss: 0.048916 | mae: 37.11 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05469 (39.5%) | loss: 0.047852 | mae: 37.96 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05470 (39.5%) | loss: 0.048264 | mae: 22.39 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05471 (39.5%) | loss: 0.048260 | mae: 25.72 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05472 (39.5%) | loss: 0.048978 | mae: 37.97 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05473 (39.6%) | loss: 0.048416 | mae: 37.93 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05474 (39.6%) | loss: 0.048246 | mae: 35.86 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05475 (39.6%) | loss: 0.046628 | mae: 34.14 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05476 (39.6%) | loss: 0.047555 | mae: 34.62 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05477 (39.6%) | loss: 0.047913 | mae: 29.69 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05478 (39.6%) | loss: 0.048327 | mae: 27.64 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05479 (39.6%) | loss: 0.046957 | mae: 30.92 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05480 (39.6%) | loss: 0.047690 | mae: 35.90 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05481 (39.6%) | loss: 0.047761 | mae: 30.69 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05482 (39.6%) | loss: 0.047972 | mae: 27.07 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05483 (39.6%) | loss: 0.046589 | mae: 30.74 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05484 (39.6%) | loss: 0.046768 | mae: 33.91 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05485 (39.6%) | loss: 0.045543 | mae: 31.97 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05486 (39.6%) | loss: 0.046015 | mae: 30.61 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05487 (39.7%) | loss: 0.047714 | mae: 34.22 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05488 (39.7%) | loss: 0.046973 | mae: 29.48 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05489 (39.7%) | loss: 0.045340 | mae: 34.44 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05490 (39.7%) | loss: 0.047286 | mae: 25.19 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05491 (39.7%) | loss: 0.047300 | mae: 31.04 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05492 (39.7%) | loss: 0.046573 | mae: 32.15 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05493 (39.7%) | loss: 0.045723 | mae: 28.91 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05494 (39.7%) | loss: 0.044872 | mae: 37.11 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05495 (39.7%) | loss: 0.043891 | mae: 33.99 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05496 (39.7%) | loss: 0.044446 | mae: 29.66 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05497 (39.7%) | loss: 0.043628 | mae: 28.44 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05498 (39.7%) | loss: 0.044276 | mae: 39.36 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05499 (39.7%) | loss: 0.044695 | mae: 36.43 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05500 (39.7%) | loss: 0.044392 | mae: 28.95 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05501 (39.8%) | loss: 0.044298 | mae: 31.61 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05502 (39.8%) | loss: 0.043868 | mae: 30.84 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05503 (39.8%) | loss: 0.043659 | mae: 33.73 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05504 (39.8%) | loss: 0.045976 | mae: 32.69 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05505 (39.8%) | loss: 0.045453 | mae: 34.80 | lrm: 1.00 | dt: 22ms | epoch: 34 | remaining: 181s    
step 05506 (39.8%) | loss: 0.045721 | mae: 20.95 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 181s    
step 05507 (39.8%) | loss: 0.046842 | mae: 31.21 | lrm: 1.00 | dt: 23ms | epoch: 35 | remaining: 181s    
step 05508 (39.8%) | loss: 0.047986 | mae: 29.40 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 181s    
step 05509 (39.8%) | loss: 0.047599 | mae: 33.71 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 181s    
step 05510 (39.8%) | loss: 0.048134 | mae: 31.89 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 181s    
step 05511 (39.8%) | loss: 0.048194 | mae: 40.14 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05512 (39.8%) | loss: 0.049156 | mae: 29.19 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05513 (39.8%) | loss: 0.048709 | mae: 41.48 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05514 (39.8%) | loss: 0.048680 | mae: 26.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05515 (39.9%) | loss: 0.047787 | mae: 33.90 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05516 (39.9%) | loss: 0.047427 | mae: 32.65 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05517 (39.9%) | loss: 0.047810 | mae: 36.15 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05518 (39.9%) | loss: 0.047274 | mae: 27.73 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05519 (39.9%) | loss: 0.046548 | mae: 28.24 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05520 (39.9%) | loss: 0.046501 | mae: 25.08 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05521 (39.9%) | loss: 0.046179 | mae: 28.91 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05522 (39.9%) | loss: 0.044970 | mae: 31.85 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05523 (39.9%) | loss: 0.046075 | mae: 25.81 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05524 (39.9%) | loss: 0.045470 | mae: 33.57 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05525 (39.9%) | loss: 0.043614 | mae: 39.97 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05526 (39.9%) | loss: 0.043143 | mae: 36.52 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05527 (39.9%) | loss: 0.043126 | mae: 28.13 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05528 (40.0%) | loss: 0.042827 | mae: 31.47 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05529 (40.0%) | loss: 0.042118 | mae: 28.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05530 (40.0%) | loss: 0.041518 | mae: 26.80 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05531 (40.0%) | loss: 0.042184 | mae: 33.97 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05532 (40.0%) | loss: 0.042039 | mae: 35.32 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05533 (40.0%) | loss: 0.042076 | mae: 29.14 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05534 (40.0%) | loss: 0.041700 | mae: 27.17 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05535 (40.0%) | loss: 0.041688 | mae: 29.55 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05536 (40.0%) | loss: 0.040966 | mae: 34.09 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05537 (40.0%) | loss: 0.040502 | mae: 32.93 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05538 (40.0%) | loss: 0.040312 | mae: 36.76 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05539 (40.0%) | loss: 0.040762 | mae: 31.36 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05540 (40.0%) | loss: 0.040856 | mae: 35.37 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05541 (40.0%) | loss: 0.041207 | mae: 26.06 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05542 (40.1%) | loss: 0.040408 | mae: 30.29 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05543 (40.1%) | loss: 0.041301 | mae: 33.51 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05544 (40.1%) | loss: 0.041029 | mae: 23.90 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05545 (40.1%) | loss: 0.042273 | mae: 27.64 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05546 (40.1%) | loss: 0.043286 | mae: 37.54 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05547 (40.1%) | loss: 0.042775 | mae: 31.41 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05548 (40.1%) | loss: 0.042753 | mae: 32.59 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05549 (40.1%) | loss: 0.042761 | mae: 28.39 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05550 (40.1%) | loss: 0.042966 | mae: 25.47 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05551 (40.1%) | loss: 0.042972 | mae: 26.95 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05552 (40.1%) | loss: 0.042579 | mae: 29.31 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05553 (40.1%) | loss: 0.045026 | mae: 38.57 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05554 (40.1%) | loss: 0.045350 | mae: 28.07 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05555 (40.1%) | loss: 0.044613 | mae: 24.82 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05556 (40.2%) | loss: 0.044971 | mae: 34.40 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 180s    
step 05557 (40.2%) | loss: 0.044728 | mae: 28.03 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05558 (40.2%) | loss: 0.044606 | mae: 31.49 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05559 (40.2%) | loss: 0.046473 | mae: 36.22 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05560 (40.2%) | loss: 0.047073 | mae: 33.31 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05561 (40.2%) | loss: 0.046857 | mae: 29.49 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05562 (40.2%) | loss: 0.045850 | mae: 29.82 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05563 (40.2%) | loss: 0.047298 | mae: 32.13 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05564 (40.2%) | loss: 0.046261 | mae: 29.59 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05565 (40.2%) | loss: 0.045488 | mae: 35.33 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05566 (40.2%) | loss: 0.045848 | mae: 32.61 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05567 (40.2%) | loss: 0.046036 | mae: 29.90 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05568 (40.2%) | loss: 0.046645 | mae: 29.18 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05569 (40.2%) | loss: 0.046897 | mae: 29.92 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05570 (40.3%) | loss: 0.046803 | mae: 25.38 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05571 (40.3%) | loss: 0.045622 | mae: 26.02 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05572 (40.3%) | loss: 0.045221 | mae: 25.07 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05573 (40.3%) | loss: 0.046020 | mae: 29.33 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05574 (40.3%) | loss: 0.045245 | mae: 33.91 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05575 (40.3%) | loss: 0.049022 | mae: 28.42 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05576 (40.3%) | loss: 0.049200 | mae: 34.16 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05577 (40.3%) | loss: 0.049292 | mae: 29.95 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05578 (40.3%) | loss: 0.048389 | mae: 24.64 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05579 (40.3%) | loss: 0.046288 | mae: 31.41 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05580 (40.3%) | loss: 0.045242 | mae: 33.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05581 (40.3%) | loss: 0.043943 | mae: 31.93 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05582 (40.3%) | loss: 0.043834 | mae: 37.11 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05583 (40.4%) | loss: 0.044151 | mae: 27.89 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05584 (40.4%) | loss: 0.043409 | mae: 27.29 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05585 (40.4%) | loss: 0.043432 | mae: 33.18 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05586 (40.4%) | loss: 0.043310 | mae: 31.61 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05587 (40.4%) | loss: 0.043178 | mae: 30.11 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05588 (40.4%) | loss: 0.045039 | mae: 35.21 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05589 (40.4%) | loss: 0.047509 | mae: 31.46 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05590 (40.4%) | loss: 0.046737 | mae: 40.73 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05591 (40.4%) | loss: 0.048294 | mae: 28.02 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05592 (40.4%) | loss: 0.047724 | mae: 36.34 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05593 (40.4%) | loss: 0.047457 | mae: 30.06 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05594 (40.4%) | loss: 0.047298 | mae: 32.75 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05595 (40.4%) | loss: 0.047100 | mae: 33.21 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05596 (40.4%) | loss: 0.047438 | mae: 31.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05597 (40.5%) | loss: 0.046044 | mae: 26.57 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05598 (40.5%) | loss: 0.045400 | mae: 27.41 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05599 (40.5%) | loss: 0.048103 | mae: 29.69 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05600 (40.5%) | loss: 0.047257 | mae: 33.34 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05601 (40.5%) | loss: 0.046765 | mae: 37.30 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05602 (40.5%) | loss: 0.045992 | mae: 36.21 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 179s    
step 05603 (40.5%) | loss: 0.046778 | mae: 38.42 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05604 (40.5%) | loss: 0.045524 | mae: 30.91 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05605 (40.5%) | loss: 0.047149 | mae: 29.09 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05606 (40.5%) | loss: 0.045659 | mae: 35.11 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05607 (40.5%) | loss: 0.045949 | mae: 36.53 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05608 (40.5%) | loss: 0.046670 | mae: 31.98 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05609 (40.5%) | loss: 0.046890 | mae: 38.63 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05610 (40.5%) | loss: 0.046305 | mae: 27.83 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05611 (40.6%) | loss: 0.046339 | mae: 31.81 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05612 (40.6%) | loss: 0.045577 | mae: 39.75 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05613 (40.6%) | loss: 0.047138 | mae: 36.81 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05614 (40.6%) | loss: 0.047527 | mae: 26.54 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05615 (40.6%) | loss: 0.048652 | mae: 39.17 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05616 (40.6%) | loss: 0.047525 | mae: 29.54 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05617 (40.6%) | loss: 0.048521 | mae: 31.12 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05618 (40.6%) | loss: 0.047081 | mae: 30.38 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05619 (40.6%) | loss: 0.049606 | mae: 25.74 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05620 (40.6%) | loss: 0.049429 | mae: 32.49 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05621 (40.6%) | loss: 0.048704 | mae: 31.60 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05622 (40.6%) | loss: 0.049363 | mae: 31.23 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05623 (40.6%) | loss: 0.051769 | mae: 30.57 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05624 (40.6%) | loss: 0.052461 | mae: 30.18 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05625 (40.7%) | loss: 0.050177 | mae: 27.60 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05626 (40.7%) | loss: 0.049105 | mae: 34.93 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05627 (40.7%) | loss: 0.048735 | mae: 31.77 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05628 (40.7%) | loss: 0.050281 | mae: 38.50 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05629 (40.7%) | loss: 0.049497 | mae: 28.46 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05630 (40.7%) | loss: 0.050108 | mae: 32.71 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05631 (40.7%) | loss: 0.048022 | mae: 28.26 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05632 (40.7%) | loss: 0.048610 | mae: 28.91 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05633 (40.7%) | loss: 0.049470 | mae: 35.19 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05634 (40.7%) | loss: 0.050232 | mae: 26.06 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05635 (40.7%) | loss: 0.051034 | mae: 31.73 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05636 (40.7%) | loss: 0.051181 | mae: 38.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05637 (40.7%) | loss: 0.050237 | mae: 38.25 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05638 (40.7%) | loss: 0.050871 | mae: 32.63 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05639 (40.8%) | loss: 0.049996 | mae: 31.54 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05640 (40.8%) | loss: 0.050586 | mae: 35.43 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05641 (40.8%) | loss: 0.052086 | mae: 31.14 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05642 (40.8%) | loss: 0.052125 | mae: 35.59 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05643 (40.8%) | loss: 0.050750 | mae: 31.08 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05644 (40.8%) | loss: 0.050788 | mae: 24.09 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05645 (40.8%) | loss: 0.050503 | mae: 30.29 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05646 (40.8%) | loss: 0.050400 | mae: 28.84 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05647 (40.8%) | loss: 0.049278 | mae: 27.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05648 (40.8%) | loss: 0.048919 | mae: 27.61 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 178s    
step 05649 (40.8%) | loss: 0.050951 | mae: 31.22 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05650 (40.8%) | loss: 0.050205 | mae: 35.15 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05651 (40.8%) | loss: 0.051242 | mae: 29.18 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05652 (40.9%) | loss: 0.050023 | mae: 28.99 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05653 (40.9%) | loss: 0.049474 | mae: 37.72 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05654 (40.9%) | loss: 0.049653 | mae: 29.99 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05655 (40.9%) | loss: 0.048896 | mae: 26.83 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05656 (40.9%) | loss: 0.049651 | mae: 32.48 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05657 (40.9%) | loss: 0.048937 | mae: 31.26 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05658 (40.9%) | loss: 0.048665 | mae: 33.03 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05659 (40.9%) | loss: 0.050071 | mae: 31.20 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05660 (40.9%) | loss: 0.048540 | mae: 28.02 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05661 (40.9%) | loss: 0.048057 | mae: 26.19 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05662 (40.9%) | loss: 0.047814 | mae: 32.06 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05663 (40.9%) | loss: 0.048152 | mae: 37.46 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05664 (40.9%) | loss: 0.047640 | mae: 37.55 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05665 (40.9%) | loss: 0.049600 | mae: 34.34 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05666 (41.0%) | loss: 0.049208 | mae: 33.29 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05667 (41.0%) | loss: 0.048916 | mae: 34.63 | lrm: 1.00 | dt: 22ms | epoch: 35 | remaining: 177s    
step 05668 (41.0%) | loss: 0.047704 | mae: 30.99 | lrm: 1.00 | dt: 22ms | epoch: 36 | remaining: 177s    
step 05669 (41.0%) | loss: 0.047271 | mae: 31.97 | lrm: 1.00 | dt: 23ms | epoch: 36 | remaining: 177s    
step 05670 (41.0%) | loss: 0.046042 | mae: 29.64 | lrm: 1.00 | dt: 22ms | epoch: 36 | remaining: 177s    
step 05671 (41.0%) | loss: 0.044734 | mae: 29.59 | lrm: 1.00 | dt: 22ms | epoch: 36 | remaining: 177s    
step 05672 (41.0%) | loss: 0.045131 | mae: 30.62 | lrm: 1.00 | dt: 22ms | epoch: 36 | remaining: 177s    
