Vocab size: 100
Model config: {'vocab_size': 100, 'd_model': 256, 'd_ff': 2048, 'n_head': 8, 'd_kv': 64, 'n_encoder_layers': 4, 'n_decoder_layers': 4, 'dropout': 0.04, 'attn_dropout': 0.0, 'relative_attention_num_buckets': 32, 'relative_attention_max_distance': 128}
Pretrained: embedding mapped 38/100 tokens
Pretrained: loaded encoder (4L) + decoder (4L) weights from /home/saumya/.cache/autoresearch/pretrained/models/pretrain/simple
Total parameters: 14,712,576
Estimated FLOPs per sample: 8.827546e+07
Time budget: 300s

step 00149 (1.0%) | loss: 0.133339 | mae: 35.48 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00150 (1.0%) | loss: 0.133105 | mae: 35.14 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00151 (1.0%) | loss: 0.132492 | mae: 33.33 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00152 (1.0%) | loss: 0.133544 | mae: 30.49 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00153 (1.0%) | loss: 0.130600 | mae: 28.36 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00154 (1.0%) | loss: 0.130609 | mae: 29.58 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00155 (1.0%) | loss: 0.133106 | mae: 24.39 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00156 (1.0%) | loss: 0.133989 | mae: 30.49 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00157 (1.1%) | loss: 0.138771 | mae: 23.49 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00158 (1.1%) | loss: 0.135301 | mae: 28.81 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00159 (1.1%) | loss: 0.133157 | mae: 27.26 | lrm: 1.00 | dt: 22ms | epoch: 1 | remaining: 297s    
step 00160 (1.1%) | loss: 0.132003 | mae: 28.05 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00161 (1.1%) | loss: 0.130881 | mae: 30.55 | lrm: 1.00 | dt: 23ms | epoch: 2 | remaining: 297s    
step 00162 (1.1%) | loss: 0.134458 | mae: 31.43 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00163 (1.1%) | loss: 0.132537 | mae: 29.42 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 297s    
step 00164 (1.1%) | loss: 0.129495 | mae: 26.45 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00165 (1.1%) | loss: 0.129489 | mae: 33.77 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00166 (1.1%) | loss: 0.131077 | mae: 29.25 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00167 (1.1%) | loss: 0.135046 | mae: 32.84 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 297s    
step 00168 (1.1%) | loss: 0.137143 | mae: 32.00 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 297s    
step 00169 (1.1%) | loss: 0.136206 | mae: 33.78 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00170 (1.1%) | loss: 0.139479 | mae: 32.13 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00171 (1.2%) | loss: 0.140493 | mae: 32.45 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 297s    
step 00172 (1.2%) | loss: 0.138034 | mae: 30.24 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00173 (1.2%) | loss: 0.138386 | mae: 28.74 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00174 (1.2%) | loss: 0.134910 | mae: 27.69 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00175 (1.2%) | loss: 0.132708 | mae: 31.21 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00176 (1.2%) | loss: 0.130843 | mae: 34.59 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00177 (1.2%) | loss: 0.130304 | mae: 34.26 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00178 (1.2%) | loss: 0.134369 | mae: 28.78 | lrm: 1.00 | dt: 22ms | epoch: 2 | remaining: 296s    
step 00179 (1.2%) | loss: 0.136961 | mae: 32.07 | lrm: 1.00 | dt: 21ms | epoch: 2 | remaining: 296s    
