trial	val_mae	memory_gb	status	description
40	6.9472	1.1	ok	batch_size=8 beta1=0.95 dropout=0.15000000000000002 head_dropout=0.25 head_type=linear learning_rate=0.00021007063824793752 lr_schedule=cosine warmup_ratio=0.04 weight_decay=0.004235851259431713
41	5.8233	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.25 head_type=linear learning_rate=0.0005858701717404125 lr_schedule=cosine warmup_ratio=0.06 weight_decay=0.009463270154328709
42	5.8740	0.8	ok	batch_size=8 beta1=0.9 dropout=0.0 head_dropout=0.2 head_type=linear learning_rate=0.0004963319431983406 lr_schedule=cosine warmup_ratio=0.06 weight_decay=0.006479399686056774
43	5.9657	2.4	ok	batch_size=24 beta1=0.9 dropout=0.0 head_dropout=0.35000000000000003 head_type=mlp learning_rate=0.000638132193055079 lr_schedule=linear warmup_ratio=0.08 weight_decay=0.010515067793151178
44	5.7171	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.30000000000000004 head_type=mlp learning_rate=0.0006459184368410755 lr_schedule=cosine warmup_ratio=0.04 weight_decay=0.016682009998305714
45	5.7633	3.1	ok	batch_size=32 beta1=0.9 dropout=0.0 head_dropout=0.4 head_type=linear learning_rate=0.0008425941929834108 lr_schedule=linear warmup_ratio=0.06 weight_decay=0.002452245015556029
46	5.1379	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.1 head_type=mlp learning_rate=0.0004072794170775677 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.023427398925650458
47	22.6804	1.1	ok	batch_size=8 beta1=0.9 dropout=0.1 head_dropout=0.1 head_type=mlp learning_rate=0.002927417005432569 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.0222539297332115
48	5.7928	2.8	ok	batch_size=24 beta1=0.9 dropout=0.05 head_dropout=0.1 head_type=mlp learning_rate=0.00038835468851367944 lr_schedule=cosine warmup_ratio=0.14 weight_decay=0.025352718475268286
49	7.9996	1.1	ok	batch_size=8 beta1=0.85 dropout=0.25 head_dropout=0.05 head_type=linear learning_rate=0.00022487098469384652 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.019345615331333523
50	5.2462	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.00048430602599652025 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.03651977879728152
51	5.6085	1.1	ok	batch_size=8 beta1=0.9 dropout=0.05 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.0005062216470819519 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.040542132749724215
52	5.8946	1.1	ok	batch_size=8 beta1=0.9 dropout=0.1 head_dropout=0.2 head_type=mlp learning_rate=0.0004699041347618515 lr_schedule=linear warmup_ratio=0.12 weight_decay=0.03632276928701629
53	5.7746	3.6	ok	batch_size=32 beta1=0.9 dropout=0.05 head_dropout=0.15000000000000002 head_type=mlp learning_rate=0.00028825689458988456 lr_schedule=linear warmup_ratio=0.14 weight_decay=0.027900414988351753
54	6.3827	1.1	ok	batch_size=8 beta1=0.9 dropout=0.15000000000000002 head_dropout=0.1 head_type=mlp learning_rate=0.0004351937840751585 lr_schedule=linear warmup_ratio=0.1 weight_decay=0.023530108920441
